Marqaa gubataa, nama hubataatu arga.
Amma beektu, niitiin dhiirsa soorti.
"Amma bukoon kee kuuf, jedhutti ani hin kufu❞ jette jaartiin.
Amma cufatanitti hin danqaratu.
Amma cufatanitti hin danqaaratu.
Amma cufatuutti hin danqarsu.
Amma farda bira geenyutti harree yaabbanna.
Amma feete baayyattu titisni qabee hin buqqifattu.
Amma fedhe huqqatu sangaan gaafa hin laatu.
Amma gabaan namaa laattu haati namaa hin laattu.
"Amma hammana kaatti, yoo guddatte akkam kaattii," jedhe illeettii ari'ee.
Amma hin jirree dhuufuun jirma.
Amma hiiqan hiiqni argama.
Amma hiiqan hiiqni mulata, iyyessi gowwaadha du'a hedata.
"Ammahuu!" jette adurreen.
Amma ishiitti injiraan gaanfa qabdi.
Amma jaalalli jiru jibbi jira.
Amma leeencattan bookkisa jedhee booyyeen hudduu dhodho'e.
Antuunni mala qabdu qixxee abbaa warraa nyaatti. 
Antuunni du'a barbaadde funyaan adalaa fuunfatti.
Antuunni hin kufu, abbaan of hin tufu.
Antuunni maraatte adurree dhungatti.
Antuunni mana jiru baaqilli faana dhabderbor
"Anuu amma namaa hin ga'u namuu garaa nan ga'u" jette sareen.
Anuu budaa, 'eenyutuu intala tiyya nyaate.
"Anuu budaa ilmoo koo maaltu nyaatee," jette budaan. 
"Anuu gurraattiidha maa na guggubu ibiddan" jette.
"Anuu hamma namaa hin ga'uu, namuu garaa na hin ga'u" jette sareen.
"Anuu hin duulu abbaanuu nan dhiisu" jette A M sodaattuun.
"Anuu hin heerumu, warruu ana hin gurguran" jette garbittiin.
"Anaaf haadhumatu naa hin baane," jedhe gowwaan haadha dhahee ajjesee.
"Anaafuu taa'aa maaliifan taa'a," jedhe jaarsi durba fuudhee.
"Anaa haadhumatu naa hin baane" jedhe maraataan haadha dhayee ajjeesee.
"Anaa haa dhumutu naa hin baane" jedhe haadha hudhee ajjeessee.
"Anaa" jette jaartiin mutaa hattee.
"Anaa jettu dibi," jette ballaan.
"Anaa jettu lixii baasi," jedhe nyaatee quufee.
"Anaa jettu mi'aayi ofii jettu bushaayi" jette niitiin.
"Anaa jettu waaqaan of bayi" jette hantuunni.
." Anaallee anaa, kan hiriyaan kee sitti kofaltu jedhe," namtichi gaagura luqqisee gadidhiisee.
Ana haa nyaatuun beela nama hin baasu.
"Anaayii ?," jette jaartiin mutaa hattee.
" Anaa nyaatuun" beela hin baasu.
An bonni ajjeesa ganni maqaa fuudha.
Ancufa hin tufan, tufan hin arraaban.
Andoodeen garaa laaffinaaf bishaan fudhate.
"An du'u araddaan hin margin," jette harreen.
Angafa doofe qoxisuun mo'a.
Angafa doofe quxisuutu mo'a.
Angafa doofe quxusutu moo'a.
"Ani abborra hin beeku, abboon waaqrra hin beeku" jedhe namtichi.
"Ani ammaan darbaa abdii koo horii ormaa gaaratti hin 'oofiin," jette hurriin hattuudhaan.
Ani badeen waan bade hin galchu.
Ani badeen waan badu hin galchuu.
Ani ba'e jalaa, rakkoon worratti hafa.
"Ani kushiin" jette jedhan doobbiin.
"Animoo" jette jaartiin mutaa hattee.
"Animoo" jette niitiin mutaa hattee.
Ani niitii fudhee gali yaa ofiin taphattuu ati leemmatii hodhita.
"Ani qodaa dammaati," jette qoda bukoon laga ceete. 
Anis beekaa, atis beektaa naa sooradhu.
"Anis deemu goojjoon warra kanaa 'aaruu hin dhiiftu" jette garbittiin ashuuffe teessee.
"Anis fooniyyuu foon biratti na fannisuu," jette sombi. 
"Anis hin tolu, kan na eegusi hin tolu" jette ra'een. 
Ani si hin dhaaniin malee boochu giddii hin qabu. 
Ani si hin dhaaniin malee boochu giddii qabaa.
Ani si hin dhaaniin malee, yoo booche giddiin qabaa! 
Ani urgaafuu laga hin ce'u," jette tukaaniin.
Antuunni mala qabu qallaba warraa wajjin nyaata.
"Ammallee ammallee," jette garbitiin daabboo araabdee.
Ammamillee hammaatu arjaan kopha hin nyaatu. 
"Amma nagaan busaaye" jette jartiin qadaada lafaa argannaan.
"Ammanallee hiyoomu kan dura du'e awwaalu," jedhe jaarsi.
"Amma natti ife," jette maraatuun mana gubdee.
"Amma yaa jiruu bulluqaa" jette marqaan.
"Amma natti tole" jette cirriin farda yaabbattee.
Amma nyaate garaatuu beeka, amma dubbate afaantuu beeka.
Amoolee abbaan gate, ormi diddigaa hin fudhatu
Amooleen mataan dhiqadha jedhee, bishaan seenee achumaan hafe.
" Ana caalaa qaaqxee," jette kormaan lukkuu allaattidhaan.
"Ani bishaan hin bu'u huuroon cabsaa?," jette tafkiin.
"Ani bu'u huubboon cabsa" jette tafkiin.
"Ani dafeetu hin dhufu," jette injiraann.
"Ani du'u araddaan hin margiin," jette harreen. 
"Ani du'u araddaan hin margiin," jette harreen.
"Aniif adurreen ulaadhaan wal agarre" jette hantuunni.
"Aniifi adurreen lafa jalaan wal argina" jette hatuunni. 
Ani hamma namaa hin ga'u, namni garaa na hin ga'u.
Ani hin dhaliin fardi baata.
"Ani kana keessaa hin qabu," jedhe namtichi jaarti garba gatee.
"Ani kanan du'u har'a, margi kan margu egere," jette dullattiin.
"Ani kanan jiraadhu bosona keessa, gogaan koo akkammitti guute gabaa keessa?" jette qurupheen.
"Ana hoo 'eessa gootan" jedhe ashaboon barbareefi shiroodhaan.
Ana maganii, farda kee albaatii laalii.
"Ana malee hin toltu," jedhe ashaboon.
"Ana malee taatii," jedhe soogiddi.
"Ana maqaa balleessuuf harree alatti dhiisan," jedhe waraabessi.
"Anamoo" jette jaartiin limmoo hattee.
"Anamoo" jette jaartiin mutaa hattee.
Anaan duwwaa gatanii hattu naan jedhan jette adurreen.
"Anaanii," jette jaartiin mutaa hattee.
"Anaanuu jedhuu, ilmoo koo maaltu nyaatee?" jette budaan.
"Anaanuu jedhuu maaltu daa'ima koo nyaatee?" jette budaan.
"Akka mana hin oolle akka narraa hin deemne" jette akkoo Manooyyeen.
Akka mana ofiitti bulu malee akka ollaatti hin bulan. 
Akka manaa dhaaman gabaan hin bittu.
"Akka mataa abbaa garaa isaa dhowwu" jette jaartiin.
"Akka mataa abbaa garaa si haa dhowwu," jette jaartiin.
Akkam bultee gandatu beeka, akkatti bule abbaatu beeka.
"Akkam bultee," jennaan, "anaaf mana kootu beeka" jedhe.
Akka meeshaa ishiitiif dhaddeetu biyya fudhata. 
Akka meeshaa sheetiif dhaddeetu biyya fudhata.
Akka jedhan" jette, handaaqqoon karrarraa gadi jettee.
"Akkam" jedhe kormaan indaaqoo.
"Albeen kan natti kaatus arge" jette dullattiin.
Alkan iddoo isaa malee hin bari'u.
Amalaaf daaraarra gangalata sanyoon harree.
"Amalaaf," jette garbittiin daakuu arraabdee.
Amalaaf hadhoofti qalqalloon koosoo.
"Amala amala," jette garbittiin daabboo hattee.
"Amala amala" jettee garbittiin daabboo arraabde.
"Amala amala" jette garbittiin majii harraabdee.
Amala hin suuqqatan.
Amalli abbaa dhiba, hamaan ganda dhiba.
Amalli abbaa dhibeeti hamaan ganda dhiba.
Amalli bare nama wajjin deema.
Amalli bilbila, abbaarraa qillisa.
Amalli hin suuqamu, nama biraa hin hafu,
" Ammanuman naqe farsoo," jette, jaartiin.
Amartiin lafee nyaatte quba koo nyaatte.
Alatti amma arbaa, manaatti amma garbaa.
Allaattiin balali'aa 'ooltee, duuti lafa.
Allaattiin balali'aa 'ooltullee booddeen ishii lafuma.
Allaattiin balaliitee balaliitee murteen lafa.
Allaattiin baaritti fincoofte baariin bolleessuu mitiisa baalagummaa ofiitii.
Allaattiin deemtee deemtee, reeffiishii lafuma.
Allaattiin duula 'eegdii, duullii allaattii eegdii.
Allaattiin du'aa 'eega, duuti allaattii eega.
Allaattiin fira fakkaatee simbira nyaata.
Allaattiin foon baattu ofii hin yaattu namaa hin laattu.
Allaattiin jooraa ooltu reeffi lafuma.
Allaattiin kan dura bu'etu ija fudhata.
Allaattiin marsaa 'oolti, booddeen lafuma.
Allaattiin marsitee, marsitee, duuti lafa.
Allaattiin mukarra bule, yookaan baala yookaan baallii buusu malee hin ka'u.
Akkanas taatuu niitii ilma kiyyaa hin taatu.
Akkanattis yoo qalan gogaatu bada.
Akkanatti yoo qalan gogaan bada.
"Akkanatti nyaatanii dhirsa hin yaadan," jette haftuun.
Akkana nyaatanii, dhirsa hin yaadanii.
"Akkan beekuttan of ajjeesa" jette niitiin gorroo gubbaatti of rarraaftee.
"Akkaan beekuttan of hudha" jetteeti cifriggiin of huute jaartiin.
Akka ofii abbaatu beeka.
Akka ofii seetee haati intalatti dakkuu hiite.
Akka ollaan rafetti rafan.
Akka ollaatti hin bulan akka ofiitti bulu.
Akka ormaatti ragannaann morma nama jallisa.
Akka ormaatti ragannaatti mormi nama caba jedhan.
Akka ormaattiin sirba yoo jedhan mormi nama daba.
"Akka jedhan" jetteeti, lukkuun balbalaa gadi jette. 
"Akka kiyyaatiif maaltu ciisee naa kajeellata" jette sareen.
"Akka kiyyaatti maaltu naa kajeellata," jette sareen.
Akka kufaniin hin caban.
Akka kufaniin hin hafan.
Akka kufaniin hin hafan akka du'aniin hafan malee.
Akka kufanitti hin caban.
Akka kufanitti hin cabanu.
"Akka leencaan iyya," jettee weenniin sombaa dhoote.
"Akka leencaattan utaala," jetteeti booyyeen sonbaa dhoote.
Akka madaa qubaa yaanni garaa guba.
Akka madaa qubaatti yaanni garaa guba.
Akka madaa qubaa yaanni nama guba.
Akka manaa bulan malee akka ollaa hin bulan.
Akkuma waa argan waa haasa'an.
Akkuma wal fakkaattuun loon walitti 'oolfatti.
Akkuma dheebotaniin laga hin maddisan.
Alaa gaangeeni sin baatu, manaa sareen sin yaattu. 
Alaa kopheen ciq ciq, manaa garaan cir cir.
Alaa manatti dheeffan manaa 'eessatti dheeffan.
Alaa ni boonaa manaa ni booya.
Alaa rarra'a, manaa manca'a.
Alaa toluu manaa tola.
Alaa warratti dheessan, manaa eessatti dheessan.
Alaa dhufaan cuubata qal'isa.
Alagaafi dukkanatti ija hin babaasan.
Alagaafi dukkanatti ija hin baasan.
Alagaa gaafa qabaatan, fira gaafa rakkaatan.
Alagaa ilkaan adii alangaan isaa gadi.
Akka ormaatti sirbinaan morma nama jallisa.
Akka ormaatti sirbina yoo jedhan mormi nama daba. 
"Akka qambara cabsutti," jedhee namtichi indaaqqoo camade.
"Akka quuftetti miti, akka duraatti na nyaadhu" jedhe beeqelaan.
Akka sangaan fardaa itti oolu qalaamaan quba hin qabdu.
"Akkattan siif dhugaa bahe beektaa," jennaan "hamman si taajjabe beektaa," jedhe.
Akkatti bule abbaatu beeka ollaan akkam bultee beeka.
Akkatti kaattu, sareen ka duwwaa nyaattu.
Akka waan dhiyootti galtuu aduun bariisaaf turtee baate.
Akka dhaban akka'oo haadha godhatan.
Alagaa kolfaa sitti adeemuufi rooba addaatee roobu hin amaniin.
Alagaan gaafa qaabatan, firri gaafa rakkatan.
"Alaakee si waamee egaa na albaasi," jette harreen waraabessan.
Ala laalii mana seen.
Alala muran malee hiddi hin dhiigu.
Alalii heexoo mi'eesa.
Alamiin abbaan hin beekne fayyaadha.
Alamiin abbaan ofirratti hin beekne fayyaadha.
Alamiin lama hin deebitu.
Alamiin dhufuu yoo barbaadde karra marsiti yoo ba'uu barbaadde haadha warraafi abbaa warraati afaan dabarsiti.
Alangeen waaqa geeche lafa hin hanqattu.
Ala rafteeti, dhooftuu komatti.
Allaattiin muka korte yookaan baallii buusti, yookaan baala buusti.
Allaattiin odoo foon lafa jiruu waaqarratti wal fixxi.
Allaattiin olis kaattu gadis kaattu murteen lafuma.
Allaattiin waaqarra bararti, reeffi ishii lafa.
Allattiin waaqa irras kaachaa 'ooltu reeffi ishii lafuma. 
Allaattiin waaqarra duuti ishee lafarra.
Allaattiin waaqarraa kaachaa ooltu reenfi lafuma.
Allaattiin waaqa keessa raachi bishaan keessa, waaqatu waliin barbaada
Allaattii waaqa keessaafi raacha bishaan keessaa waaqatu waliin barbaada. 
Allaattii waaqa keessaa, raacha bishaan keessaa waaqatu waliin barbaada.
Albaadhessi hin quufu, gowwaan dhaba hin beeku.
Albeen fooniif bitan tiruurratti citti.
Bishaan yaa'aa buleeti, kan namaa hire warabbatan.
Bishaan yaa'aa buleetu, kan nama ga'e waraabbatu. 
Bishaan yaa'ee yaa'eetu, hamma namaa qabe waraabbatu.
Bishaan yaa'ee yaa'eetu, hanga namaa qabe woraabbatu
Bishaan yaa'u, bishaan ciisu 'oofa.
Bishaan yaa'utu, kan ciisu caala.
Bishaan yaa'utu, kan ciisu kaasa.
Bishaan yaa'utu, kan ciisu yaasa.
Bishaan yaa'uufi ilmi dhiiraa, torba kufeetu torba low ka'a.
Bishaan yammuu hanqachuudhaa deemu, ajaa'a; namni yammuu salphachuu kajeelu, boona.
Bishaan, dhagaa dubbisa.
Bishaan dhangala'e, hin hammaaramu.
Akka dhaban akkawoo haadha godhatan.
Akka dhaban akkayoo haadha godhatan.
"Akka dhaqa badde gala hin badin" jette qamaleen jaldeessaan.
Akka dheebotaniin laga hin maddisan.
Akki nyaataa nyaata, suummoon irbaata.
Akkuma cabanitti okkolan.
Akkuma cabanitti hokkolan.
Akkuma dur seetee, jartiin awwaala fakkaatte.
Akkuma itti jirantu jiruudha.
Akkuma iyyetti wal hin lolu.
"Akkuma laaqxetti na nyaadhu" jette suummoon.
"Akkuma miilanaatuu ta'ee hin beeku" jette hantuunni qooxii kortee.
"Akkuma uumu uuma," jedhe gowwaan haadha hudhee.
Akka hin cabne beekaati bishaan dhagaatti utala. 
Akka hin taanetti kufteeti na kaasaa boochi.
Akka hin dhoofne beektiif harreen dugda duubaan haadha luugdi.
Akka hin nyaanne luxxeessitee, akka hin dhiifne irra dibde.
Akka hin yaanne shaanaa marqitee, akka hin dhisne samaa baksite.
"Akka ijoolleen taa'a," jedhee jaarsi marcumaa aloo hulluuqee du'e.
Akka ilma godhattu utuu hin argin maqaa baafatte.
Akaa'iin ofittuu kofalti.
Akka itti bultu wallaaltee, "bultiin na dhibe" jetti nadheen.
Akka itti bultu wallaalteeti, "bultiin na dhibe" jette nadheen.
Biyya hin beekne, hin hawwan.
Biyya hin beekne, hiyyaadan.
Biyya hin deebinetti, dhaabbataniiti udaan hagan. 
Biyya hin 'oolle, kokkoflaati dhaqan.
"Biyya isa hinbeekne dhaqeeti, itillee naa afaa" jedhe waraabessi.
Biyya itti baroodanitti, deebi'anii hin gadoodan. 
Biyya itti hin deebine, balbala duratti hagan.
Biyya itti hin deebine, hudduurraa fudhatanii hagan. 
Biyya itti hin deebinetti, soqolatani iti hagu.
Biyya itti hin deebinetti, dhaabbatanii hagu.
Biyya itti hin deebine, dhaabbataniiti hagu
Biyya itti hin deebinu jedhan, dhaabbataniiti udaan hagan.
Biyya jaarsi jiru, wanti hin badu.
Biyya kanniisni moo'e,titichi nama sodaachisa.
Biyya abbaa kootii jetteeti, injiraan moluurratti rarraati.
Biyya abbaa kootiiti jetteeti, injiraan moluutti rarraati.
Biyya abbaa kooti jedheeti, hinjiraan moluurra taa'aa.
Biyya adurreen hin jirre, hantunni cidha baasa.
Biyya adurreen hin jirre, hantuunni cidha baasti.
Biyya adurreen hin jirre, hantuuti cidha baasa.
Biyyaafi biyyeetti deebi'uu,hin 'oolan.
Biyyaafi midhaan, waliin 'eegu.
Biyyaa bahuun, haa nu dabartuufi.
Biyyaa bawuun, nu haa dabartuufi.
Biyya badde, harreen garmaaman. 
Biyya badde, harreen garmaamu. 
Biyya badde, harreetu garmaamsa.
Bishaan gaasha qabu, gaaddiduudhaan beeku.
Bishaan haala gidir gabaabaa, jibbatti bu'ee dheeraa liqimsa.
Bishaan haala gidir gabaabaa jilba hingeechu, dheeraa mataarra garagalti.
Bishaan haraa cite, adeemsa jarjara.
Bishaan hin cabuu beekeeti dhagaatti bu'a.
Bishaan himmaraatee? jettee bulluqa dhugdee. 
Bishaan hiwwaadamu, malaan waadu malee.
Bishaan madda hin qabne hin yaa'u, yaa'us hin cita. 
Bishaan iddoo bulu hin qabu, jirma baatee deema. 
Bishaaniifi gowwaan, gara 'oofanitti deeman.
Bishaaniifi haati, hamtuu hin qabdu.
Bshaaniifi karaan, dhoorkaa hin qaban. 
Bishaaniifi karaan, dhoowwaa hin qabu. 
Bishaan kokkofalchiisaa, nama nyaata.
Bishaan darbaa deemu, sin fuudhiin.
Bishaan darbaa jiru, si hin nyaatiin.
Bishaan darbaa jiru si hin nyaatiin, jaarsi du'aaf jiru si hin abaariin.
Bishaan darbaa jiru si hin nyaatiin, jaarsi du'aa jiru si hin abaariin.
Bishaan drbaa jiru sin fudhatiin, jaarsi du'aa jiru sin abaariin.
Bishaan dabraa jiru sinfudhatiin, jaarsi du'aa jiru sinabaarin.
Bishaan darbaa jiru sin nyaatini, jaarsi du'aaf deemu sin abaariin.
Bishaan darbaa jiru sin fudhatiin, jaartiin du'aa jirtu sin abaariin.
Bishaan darbaa jiru sinyaatiin, jaarsi du'aa deemu sin abaariin.
Bishaan dhangala'e, hin haramu.
Bishaan dhugan malee, hin finca'aan.
Bishingaan bilchaate, kan muru hin dhabu.
Boo'aa ka'anii, imimmaan hin obsan.
Boo'a hin beektuu, dhagaa guuri.
Booda deemtee, gabaa hin komatin.
Booddeen, hooda taati.
Bofa ajjeesan, ulee wajjin gatan.
Bofa, akka bareedasaa mormatti maratanii deemu.
Bofa, beekeeti miila dhoowwe.
Bofa gara mataa rukutuun, akka du'uufi.
Bofa garaasaa ilaaleeti, waaqni kottee dhoowwate.
Bofa kan garaa laaleetu, Waaqni miila dhoowwate. 
Bofa kan garaasaa ilaaleeti, kottee isa dhoowwate. 
Bofa, mataatu du'a.
Bofa, mataa dhawu.
Biyya badde, harreedhaan garmaaman.
Biyya badde, harreedhaan garmaamu.
Biyya baruuf, kan jiru gaafatan malee kan du'e hin gaafatan.
Biyya biyyaa, simbiratu iyya.
Biyya cabsituun jirtuutti, hin guddatan.
Biyya dadhabne jedha, maraataan kan biyyi dadhabe.
Biyya duuti hin jirren dhaqa jedhee, biyya awwaalli hin jirre dhaqe.
Biyya duuti hin jirren dhaqaa jedheeti, biyya se awwaalli hin jirre dhaqe.
Biyya duuti hin jirren dhaqa jedheetiin, biyya du'an nama hin awwaalle dhaqe.
Biyya fardi bade, harreetu garmaama.
Biyya gaaniin hin jirre, farsoo okkoteetti nagan.
Bishaan mataa namaa ga'e, miila namaa hin hanqatu.
Bishaan miila ga'e, mataa hin hanqatu.
Bishaan miila gahe, mataa hin hangatu.
Bishaan muummichaa, boora'e hin tolu.
"Bishaan nama nyaate", jennaan isheen hubboo keessaa fakkarte.
Bishaan odoo kolfanuu, nama fudhata.
Bishaan ofiifuu bakka bultii hin qabu, guddicha baatee deema.
Bishaan ofiifuu bakka bultii hin qabu, muka baatee deema.
Bishaan, ol hiyyaa'u.
Bishaan raasan, dhadhaa hin baasan.
Bishaan, suutumaan dhakaa buqqisa.
Bishaan yaa'aa buleeti, kan namaaf hire waraabbatu.
Bishaan baduu deemu sinyaatin, jaarsi du'aa deemu sin abaariin.
Bishaan badu malee, hin magariisa'u.
Bishaan baduu ga'e, hin ajaa'a.
Bishaan baduu malte, magariisu guurti.
Bishaan baduudhaa ka'e, magariisa mara. 
Bishaan baduudhaa malte, magariisa guurti. 
Bishaan baduudhaa maltu, magariisa guurti. 
Bishaan bakka bultii hin qabne, muka baatee deema.
Bishaan bakka bultii hin qabne, muka harkisa.
Bishaan bakka bultii hin qabu, gudeelcha baateeti deema.
Bishaan bakka bulu hin qabne, gudeelcha 'oofee deema.
Bishaan bara baase, ganna abaaran.
Biyya ormaa, dhaquun nama hin dhibu galuutu nama dhiba.
Biyya qaaniin badde, harreetu garmaama. 
Biyya qaaniin hin jirre, harreedhaan gulufu. 
Biyya qilxuun hin jirre, micireen abdaarii taati. 
Biyya salphaan jiru, ulfaataan gatii hin qabu. 
Biyya tokko, ilmi hin taa'aa abbaan hin qota. 
Biyya tokko, karaa hin cufatan afaan cufatan. 
Biyya tuffatan, harreen gonbisu.
Biyya tuffatan, harreedhaan garmaman.
Biyya tuffatan, harreedhaan gombisan.
Biyya tuffatan, harreedhaan gombisu.
Biyya tuffatan, harreedhaan gonbisa dhaqan. 
Biyya tuffatan, harreedhaan gonbisa dhaqu.
Biyya tuffatan, harreedhaan gonbisu.
Biyya ufiitti, lukkuun korma.
Bittaanis yaabbatan mirgaanis yaabbatan walgayiin kooraadha.
Bitaan koranii mirgaan, walgayiin kooraa.
Bitaan koran mirgaanis koran, walgeenyi kooradha.
Bitaan koran mirgaan, walgeenyi kooraadha. 
Bitaan kori mirgaan kori, walga'iin kooraadha. 
Bitaan kori mirgaan kori,walgeettiin kooraadha.
Bitaan kori mirgaan kori,walgeenyi kooraadha. 
Bitaan kortus mirgaan kortus, walga'iin kooraadhuma.
Bitaan kortus mirgaan kortus, walgahi kooraadha.
Bitaan kortus mirgaan kortus, walga'iin kooraadhuma.
Bitaan kortus mirgaan kortus, walgeenyi kooraadha.
Bitaas kori mirgaas kori, walgeenyi kooruma.
Biyya kormi hin jirretti, harreetu halaaka.
Biyya tuffatan, harreedhaan garmaaman.
"Biyya maal na fidde, biyya baalli huddu nama gubu" jedhe namichi doobbiidhaan hudduu haqatee.
Biyya midhaan hin jirre, caabotaan midhaani.
Biyya mukti hin jirre, margatti hirreeffatu.
Biyya nama hin beeknetti, dhaabbatanii hagan.
Biyya nadheen quufte, harreetu garmaama.
Biyya ofiitti, lugnuu korma.
Biyya ofiititti, lukkuun korma.
Biyya ormaa, deemuun nama hindhibu galuutu nama dhiba.
Biyya ormaatti,cooma nyaataniiti daadhii dhugan malee iitti hin hafan.
Biyya ormaa, dhaquun nama hin dhibu galuun nama dhiba.
Bitaa mirgas koran, walgeenyi kooruma.
Bitaadhaanis koran mirgaanis koran,walgeenyi kooruma.
Bitaas yaabbatan mirgaas yaabbatan, walgeenyi kooruma.
Bitata wallaalanii, gabaa abaaran.
Bittaa wallaalanii, gabaa abaaranii.
Biyya abbaa kiyyaa hin gallakkisu jetteeti, injiraan moluurratti duute.
Biyya abba kiyyaati jettee, injiraan moluu gubbaa teesse.
Biyya abbaa koo hin gadhiisu jettee, injiraan moluurratti hafte.
Biyya abbaa kootii hin gadhiisu jettee, daljeettiin hallayaa qabattee.
Biyya abbaa kootii jettee, injiraan moluurratti haftee.
Biyya tulluun hin jirre, randaarra dhaabbatu.
Biyya dhugaan badde, halkan cabbii rooba.
Biyya shaniin ka'an, shantamaan hin argan.
Biyyee nyaatanii hin fixan, nyaatteeti nama fixxi malee.
Biyyeen, namaaf galata hin qabdu.
Biyyi arganii hin beekne, daadhii qaba.
Biyyi mootummaa hin qabneefi kanniisni mootii hin qabne, tokko.
Biyyi ni rafaaf, jaamaan ol dabarti.
Bicheen ittuu bicheedhaa ammammoo siiquu argatee?
Bishaan akka baatanitti dhugan malee, akka inni nama baatutti hin dhugan.
Bishaan baduu deemu, haafa guura.
Bishaan baduu deemu, magariisa guura.
Bisaan darbaa jiru si hin nyaatin, jaarsi du'aa jiru si hin abarin.
Bitaanis koran mirgaanis koran walgeeny kooraadha.
Bitaanis koran mirgaanis koran walgayiin kooruma.
Bitaanis koran, mirganis koran walgeenyi kooruma. 
Bitaanis koran mirgaanis koran walga'iin kooraadha.
Bitaanis kori, mirgaanis kori, walgeenyi kooraadha.
Bitaanis kortu, mirgaanis kortu walgeenyi kooraadhuma.
Bitaanis koru, mirgaanis koru, walgeenyi koruma.
Bitaanis koran mirgaan, walgeenyi kooruma.
Bitaanis mirgaanis koran, walgeenyi kooruma.
Bitaanis mirgaanis yaabbatan, walgeenyi kooruma. 
Bitaanis yaabbatan mirgaanis yaabbatan, walgeenyi kooruma.
Bineensi nama nyaatuurraa nyaatanii falchuu wayya.
Bineensi nama nyachuu mannaa, nyaatanii lulluuqqachu wayya.
Bineessi niitiin firgite nyaatu malee hingalu.
Bineensi ollaa hin nyaatu hoo dhabe agabuu hin bulu.
Bineensi sodaataan gurra harree dheecha.
Bineensi waan alkan godhuuf guyyaa dheessa.
Bineensi waan halkan godhe beekaaf guyyaa nama dhokata.
Bineensi waan halkan hojjetu beekaaf guyyaa nama dheeffa.
Bineensi waan halkan hojjetu beekaa guyyaa nama dheessa.
"Biqilli waggaa tokkicha fannisaniiti gaafa tokkicha nama fannisa," jedhan.
Bishaan darbe, hin woraaban.
Bishaan darbuu deemu sin fudhatiin, jaarsi du'uu deemu sin abaariin.
Bishaan darbuu jiru sin fudhatiin, jaarsi du'aa ga'ee sin abaariin.
Bishaan gabatee keessa, gara qabanitti dhangala'a. 
Bishaan gadi namme, hin hammaaramu.
Bishaan gala ga'e sin nyaatiin, jaarssi du'a ga'e sin abaariin.
Bishaan gala ga'e sinyaatiin; namni du'a ga'e sin abaariin.
Bishaan gala gahe sinyaatiin, ijoolleen guddattu sin jibbiin, jaarsi dulloome sin abariin.
Bishaan, gara jigeetti dhangala'a.
Bishaan, gara jigutti dhangala'a.
Bishaan, gara matansaa yaa'etti yaa'aa.
"Bareeduma wajjin hin deemne dhalootaf malee jette daljettiin.
Bareedaafi asheeta bira hin dabran.
Bareedaafi asheeta bira hin darban.
Bareedaa alagaarra fokkisaa firaa wayya.
Bareeda alagaarraa fokkisaa fira ofii wayya. 
Bareeda fuulaa dhiqanii hin dhuugan.
"Bareedde barreedde," jennaan intalli haadha kabalte.
"Bareedde baredde," jennaan intalli ija babaafte.
Bareeda alagaatirra fokkisaa fira ofii wayya.
